,হয়ে,গেছে,হঠাৎ,কোনো,ব্যথা,করে,ধরে,তীব্র,হয়া,যাচ্ছে,মাঝে,লাগে,লাগছে,একটু,দরকার
হয়ে,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
গেছে,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
হঠাৎ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
কোনো,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ব্যথা,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
করে,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ধরে,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
তীব্র,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
হয়া,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
যাচ্ছে,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
মাঝে,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
লাগে,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
লাগছে,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
একটু,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
দরকার,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
