model,stage,accuracy,macro_precision,macro_recall,macro_f1,roc_auc_ovr,ordinal_mae,under_prioritisation_rate,severe_error_rate,cross_script_agreement,romanized_macro_f1,training_minutes,epochs_completed,over_prioritisation_rate,quadratic_weighted_kappa,romanized_accuracy,romanized_macro_precision,romanized_macro_recall,romanized_roc_auc_ovr
SCORE-BN,Proposed Model,0.9183,0.9226,0.9213,0.9218,0.9872,0.0843,0.0434,0.0026,0.8812,0.8672,,,0.0383,0.9629,0.8621,0.8671,0.8679,0.9728
Tuned Linear SVM,Tuned,0.917,0.9192,0.9203,0.9197,,,,,,,,,,,,,,
LinearSVM,Baseline,0.9157,0.9184,0.919,0.9186,0.9841,,,,,,,,,,,,,
CNN,Deep Learning,0.9157,0.9186,0.9188,0.9186,0.987,,,,,,0.192,7.0,,,,,,
BiGRU,Deep Learning,0.9029,0.9053,0.907,0.906,0.9834,,,,,,0.0949,4.0,,,,,,
LogisticRegression,Baseline,0.9017,0.9041,0.9063,0.9049,,,,,,,,,,,,,,
BiLSTM,Deep Learning,0.9017,0.9039,0.907,0.9045,0.9779,,,,,,0.1498,4.0,,,,,,
XGBoost,Baseline,0.8991,0.9016,0.9033,0.9023,0.9799,,,,,,,,,,,,,
RandomForest,Baseline,0.8966,0.9,0.9007,0.9003,0.981,,,,,,,,,,,,,
Tuned XGBoost,Tuned,0.8902,0.8925,0.8949,0.8935,,,,,,,,,,,,,,
MultinomialNB,Baseline,0.8838,0.886,0.8885,0.887,0.9808,,,,,,,,,,,,,
